,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published,colors_1_red,colors_1_blue,colors_1_green,colors_2_red,colors_2_blue,colors_2_green,colors_3_red,colors_3_blue,colors_3_green,colors_4_red,colors_4_blue,colors_4_green,colors_5_red,colors_5_blue,colors_5_green,colors_6_red,colors_6_blue,colors_6_green,colors_7_red,colors_7_blue,colors_7_green,colors_8_red,colors_8_blue,colors_8_green,colors_9_red,colors_9_blue,colors_9_green,colors_10_red,colors_10_blue,colors_10_green,genre
0,Metallica_ Moth Into Flame (Official Music Video).mp4,MetallicaTV,"From the album ""Hardwired...To Self-Destruct"" available everywhere on November 18.

Pre-order now at Metallica.com.

Directed by Tom Kirk
Director of Photography - Josh Blackman
Edited by Nick Cortes
Produced by Hesper Lucent
VFX by Keith Simpson, James Pina & Rowan Glenn

© 2016 Blackened Recordings

Follow Metallica:
http://www.metallica.com
http://www.livemetallica.com
http://www.facebook.com/metallica
http://www.twitter.com/metallica
http://www.instagram.com/metallica
http://www.youtube.com/metallicatv",15332321,4.87024259567,179915,6032,00:06:09,369,"[metallica, music video]",2016-09-26 22:29:14,107,108,108,95,96,94,46,46,46,33,33,33,35,35,36,27,27,27,28,28,28,28,28,28,39,39,38,55,55,55,rock
1,twenty one pilots_ Heathens (from Suicide Squad_ The Album) [OFFICIAL VIDEO].mp4,Fueled By Ramen,"twenty one pilots' music video for ‘Heathens’ from Suicide Squad: The Album available now on Atlantic Records. Get it on iTunes: http://smarturl.it/SuicideSquad
 
also on…
spotify: http://smarturl.it/StreamSuicideSquad
AppleMusic: http://smarturl.it/SuicideSquadAM 
Google Play: http://smarturl.it/SuicideSquadGP
Amazon: http://smarturl.it/SuicideSquadA 
 
“Suicide Squad” in theaters now
 
find twenty one pilots on…
 
Site: http://twentyonepilots.com
Facebook: http://facebook.com/twentyonepilots
Instagram: http://instagr.am/twentyonepilots
Twitter: http://twitter.com/twentyonepilots
YouTube: http://youtube.com/twentyonepilots
Tumblr: http://twentyonepilots.tumblr.com
Store: http://bit.ly/2fsd6Hi
 
follow Suicide Squad…
 
Facebook: https://www.facebook.com/SuicideSquad 
Twitter: http://twitter.com/SuicideSquadWB
Instagram: http://instagram.com/suicidesquadmovie
Website: http://www.suicidesquad.com

Directed by:  Andrew Donoho
DoP:  Nate Hurtsellers
Prod. Co.: Diktator",455867678,4.90970277786,3509541,81055,00:03:38,218,"[twenty one pilots, 21 pilots, twentyonepilots, fueled by ramen, FBR, fueledbyramen, music, song, tyler joseph, josh dun, TOP, Suicide Squad, Heathens, Suicide Squad the movie, suicide squad the album, heethens, heethans]",2016-06-21 22:25:16,33,33,33,22,22,22,110,110,110,91,91,62,50,52,52,145,145,146,78,78,78,103,103,104,53,53,53,4,5,5,rock
2,OneRepublic - Kids.mp4,OneRepublicVEVO,"Get OneRepublic’s new album ‘Oh My My,’ featuring ‘Kids,' 'Wherever I Go' and 'Let’s Hurt Tonight:’  http://smarturl.it/OhMyMy
Listen to the Best of OneRepublic on Spotify: http://smarturl.it/BestOf1R

Get OneRepublic’s ‘KIDS,’ out now:
Spotify:  http://smarturl.it/KIDS_1R.sp
iTunes:  http://smarturl.it/KIDS_1R
 
Created with Nokia OZO, http://ozo.nokia.com
Check out the “Kids” 360 Virtual Reality Experience at http://www.onerepublic.com/kids360  

Music video by OneRepublic performing Kids. (C) 2016 Mosley Music/Interscope Records

http://vevo.ly/1ENrPs",29670600,4.90985393524,259194,5976,00:04:29,269,"[OneRepublic, Kids, Mosley, Interscope, Pop]",2016-08-25 13:00:01,0,0,0,24,24,24,121,121,122,76,76,76,39,39,39,47,47,47,55,54,55,45,45,45,85,85,85,38,38,38,rock
3,Avenged Sevenfold - The Stage.mp4,AvengedSevenfoldVEVO,"“The Stage"" - The new album is available now!
Download: http://smarturl.it/A7XTheStage 
Spotify: http://smarturl.it/StreamA7XTheStage 

Sign up for Exclusives: http://smarturl.it/A7XWorldwide 

LYRICS: 
So I arrived, naked and cold
A welcomed change from the abeyance of a ghost town catacomb
No need for counsel I appreciate the time I’m not alone
(Why don’t you get my lawyer on the phone)
 
There were days these child eyes 
Would overlook the ugliness and fantasize
I found my heart for the first time and I awakened in me
I left myself to navigate… and oh I felt control
(It appears these sheep have quite an appetite)
 
Who is the crowd that peers through the cage,
As we perform here upon the stage?
 
As the boy became a man
In came a calm sophistication I can hardly understand
So lost in ego, didn’t notice when the time had slipped away
(Yeah, Everyone’s got a sob story)
 
Jesus Christ, was born to die 
Leave it to man to levitate his own to idolize
We’re simply sociopaths with no communication baby
I see your angle but we differ from our points of view
(So, what’s your cross to bear)
 
Who is the crowd that peers through the cage,
As we perform here upon the stage?
Tell me a lie in a beautiful way 
I believe in answers 
Just not today   
 
Hope my wheels don’t abandon me now, seein’ that I’m out here alone
I’m runnin’ out of fight
And the wind speaks a comforting voice, guiding me to her arms
Mother, I’m alright
It took the birth of sin to snake-rattle the mind 
Before a blow to the head by the gavel of time to wake up
Won’t you wake up?
When did the walking apes decide that nuclear war
Was now the only solution for them keeping the score?  Just wake up
Can’t you wake up?
 
(You do know this is just a simulation, don’t you?)
Who is the crowd that peers through the cage,
As we perform here upon the stage?
Tell me a lie in a beautiful way 
I believe in answers 
Just not today

Follow A7X for the latest updates:
http://avengedsevenfold.com 
http://twitter.com/theofficialA7X 
http://instagram.com/avengedsevenfold 
http://facebook.com/avengedsevenfold 
http://youtube.com/avengedsevenfold  

Music video by Avenged Sevenfold performing The Stage. (C) 2016 Avenged Sevenfold Partnership Under Exclusive License To Capitol Records

http://vevo.ly/2mzmzi",10137789,4.86117362976,201199,7234,00:08:31,511,"[Avenged, Sevenfold, The, Stage, Capitol, Records, (US1A), Rock, Avenged sevenfold, the stage, zacky vengeance, A7X, m shadows, synyster gates]",2016-10-13 13:00:03,0,0,0,50,50,50,101,101,101,51,51,37,65,65,65,56,55,55,88,88,86,44,44,44,45,45,45,50,50,48,rock
4,Panic! At The Disco_ LA Devotee [OFFICIAL VIDEO].mp4,Fueled By Ramen,"Panic! At The Disco's official video for 'LA Devotee’ starring Noah Schnapp of Stranger Things. Get the song now off of Death Of A Bachelor https://fanlink.to/PATDDeathOfABachelor

Join us: DEATH OF A BACHELOR TOUR w/ MisterWives & Saint Motel - Dates & Tickets: http://www.panicatthedisco.com/tour

Subscribe to P!ATD on YouTube: http://bit.ly/1jTpNa1 
Site: http://panicatthedisco.com
Facebook: http://facebook.com/panicatthedisco
Twitter: http://twitter.com/panicatthedisco
YouTube: http://youtube.com/panicatthedisco
Instagram: http://instagram.com/panicatthedisco
Snapchat: https://www.snapchat.com/add/patdbrendon
Spotify: http://spoti.fi/1CsbsdC
Shazam: http://bit.ly/1KiNmW5
Store: http://panicatthedisco.gomerch.com

Directed by SCANTRON + Mel Soria
Produced by Rachel Diamond for Platform12: http://platform12.com

DP - Nick Wise: http://cinenick.com
Editor - Pete Martich

LYRICS: 

You got two black eyes from loving too hard
And a black car that matches your blackest soul
I wouldn't change ya, oh oh
Wouldn't ever try to make you leave, no
The neon coast was your sign
And the Midwest wind with Pisces rising
Wouldn't change ya, oh oh
Wouldn't ever try to make you leave, no

Static palms melt your vibe
Midnight whisperings

The black magic of Mulholland Drive
Swimming pools under desert skies
Drinking white wine in the blushing light
Just another LA Devotee
Sunsets on the evil eye
Invisible to the Hollywood shrine
Always on the hunt for a little more time
Just another LA Devotee

You got bleached out eyes from the valley sand
And the black tar palms keep weeping your name
I couldn't change ya, oh oh
Couldn't ever try to make you see, no
The high rise lights read your rights
And a downtown storm with Aries rising
Couldn't change ya, oh oh
Couldn't ever try to make you see, no

Static palms melt your vibe
Midnight whisperings

The black magic of Mulholland Drive
Swimming pools under desert skies
Drinking white wine in the blushing light
Just another LA Devotee
Sunsets on the evil eye
Invisible to the Hollywood shrine
Always on the hunt for a little more time
Just another LA Devotee",8773937,4.89337539673,242568,6643,00:04:05,245,"[Panic At The Disco, Panic! At The Disco, PATD, P!ATD, panicatthedisco, Brendon Urie, Brandon Urie, Brendon, Urie, Death Of A Bachelor, LA Devotee, official video, music video, lyrics, Fueled By Ramen, FBR, Noah Schnapp, Will Byers, Stranger Things, dcd2 records]",2016-09-22 15:00:13,0,0,0,19,19,19,18,18,18,30,30,30,45,45,45,32,32,32,33,33,33,19,19,19,72,72,72,60,60,60,rock
5,twenty one pilots_ Stressed Out [OFFICIAL VIDEO].mp4,Fueled By Ramen,"twenty one pilots' music video for 'Stressed Out' from the new album, Blurryface - available now on Fueled By Ramen. Get it on…

iTunes: http://www.smarturl.it/blurryface
Google Play: http://www.smarturl.it/blurryface-gp
Amazon: http://www.smarturl.it/blurryface-az
Spotify: http://www.smarturl.it/TOP-Spotify
Webstore: http://bit.ly/2fsd6Hi

find twenty one pilots on…

Site: http://twentyonepilots.com
Facebook: http://facebook.com/twentyonepilots
Instagram: http://instagr.am/twentyonepilots
Twitter: http://twitter.com/twentyonepilots
YouTube: http://youtube.com/twentyonepilots
Tumblr: http://twentyonepilots.tumblr.com

Directed by Reel Bear Media (http://reelbearmedia.com)

Adult Size Big Wheels provided by High Roller USA: http://HighRollerUSA.com

LYRICS

I wish I found some better sounds no one’s ever heard,
I wish I had a better voice that sang some better words,
I wish I found some chords in an order that is new,
I wish I didn't have to rhyme every time I sang,

I was told when I get older all my fears would shrink,
But now I’m insecure and I care what people think.
My name’s ‘Blurryface’ and I care what you think

Wish we could turn back time, to the good ol’ days,
When our momma sang us to sleep but now we’re stressed out.

Sometimes a certain smell will take me back to when I was young,
How come I’m never able to identify where it’s coming from,
I’d make a candle out of it if I ever found it,
Try to sell it, never sell out of it, I’d probably only sell one,

It’d be to my brother, ‘cause we have the same nose,
Same clothes homegrown a stone’s throw from a creek we used to roam,
But it would remind us of when nothing really mattered,
Out of student loans and treehouse homes we all would take the latter.

My name’s ‘Blurryface’ and I care what you think

Wish we could turn back time, to the good ol’ days,
When our momma sang us to sleep but now we’re stressed out.

We used to play pretend, give each other different names,
We would build a rocket ship and then we’d fly it far away,
Used to dream of outer space but now they’re laughing at our face,
Saying, “wake up, you need to make money.""

Wish we could turn back time, to the good ol’ days,
When our momma sang us to sleep but now we’re stressed out.",748106349,4.86913585663,4574984,154738,00:03:45,225,"[twenty one pilots, blurryface, stressed out, 21 pilots, twentyonepilots, fueled by ramen, FBR, fueledbyramen, music, song, tyler joseph, josh dun, TOP]",2015-04-28 03:05:18,189,189,189,173,173,173,139,129,153,162,161,161,157,156,148,156,156,156,115,115,117,139,137,137,72,86,86,180,180,180,rock
6,"Metallica_ Atlas, Rise! (Official Music Video).mp4",MetallicaTV,"From the album ""Hardwired...To Self-Destruct"" available everywhere on November 18.

Directed by Clark Eddy
Filmed by Jeff Yeager

© 2016 Blackened Recordings

Follow Metallica:
http://www.metallica.com
http://www.livemetallica.com
http://www.facebook.com/metallica
http://www.twitter.com/metallica
http://www.instagram.com/metallica
http://www.youtube.com/metallicatv",9596941,4.85938119888,131355,4786,00:06:32,392, ,2016-10-31 19:10:50,0,6,12,137,135,133,213,212,206,183,185,187,100,100,100,129,128,128,198,206,207,146,146,146,201,202,204,150,149,148,rock
7,Green Day - Still Breathing (Official Music Video).mp4,Green Day,"Official Music Video for Green Day's ""Still Breathing"" from the new album 'Revolution Radio' available at http://www.GreenDay.com

Director: P.R. Brown
Producer: David Lawson
DP: Will Sampson
Edit: P.R. Brown",3076159,4.95924711227,123286,1269,00:04:22,262,"[green day, green, day, official, music, music video, still breathing, revolution radio, revrad, new]",2016-11-07 15:00:51,0,0,0,21,21,21,38,38,38,26,26,26,85,85,85,37,37,37,51,51,51,21,21,21,30,30,30,26,26,26,rock
8,Kings Of Leon - Waste A Moment.mp4,kingsofleonVEVO,"The new album 'WALLS' featuring ""Waste a Moment"", ""WALLS"", ""Around the World"" and ""Reverend"" available now: 
iTunes - http://smarturl.it/WALLSi?IQid=YT
Amazon - http://smarturl.it/WALLSaz?IQid=YT
Google - http://smarturl.it/WALLSg?IQid=YT
Apple Music- http://smarturl.it/WALLSa?IQid=YT 
Spotify - http://smarturl.it/WALLSs?IQid=YT 

Follow Kings Of Leon
Website: http://kingsofleon.com/
Facebook: https://www.facebook.com/KingsOfLeon
Twitter: https://twitter.com/kingsofleon/
Instagram: https://www.instagram.com/kingsofleon/

Director: Dimitri Basil
Executive Producer: Lorenzo Ragionieri
Production Company: Cadence Films",6969079,4.88047885895,62661,1930,00:03:04,184,"[Alternative, Waste A Moment, RCA Records Label, Kings Of Leon]",2016-09-14 04:01:00,0,0,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,rock
9,Red Hot Chili Peppers - Go Robot [OFFICIAL VIDEO].mp4,Red Hot Chili Peppers,"Watch the music video for “Go Robot” now! New album The Getaway available: http://smarturl.it/thegetawayrhcp

Directed by: Thoranna “Tota” Sigurdardottir 
Production Company: LEGS
Executive Producer: Sara Greco
Produced by: Mario Romeo
Director of Photography: Sturla Brandth Grovlen
Choreographer: Netta Yerushalmy
Robot Girl: Stephanie Crousillat
Edited by: Jeff Selis @ Bonch
Colored by: Beau Leon @ Framestore
Video Commissioner: Devin Sarno
 

http://redhotchilipeppers.com/
http://instagram.com/chilipeppers
https://facebook.com/chilipeppers
https://twitter.com/chilipeppers
http://chilipeppers.tumblr.com/",6240917,4.83037900925,87144,3859,00:04:29,269,"[red hot chili peppers, red, hot, chili, peppers, go robot, robot, dark necessities, getaway, flea, chad smith, josh klinghoffer, anthony kiedis]",2016-09-09 16:01:13,2,2,3,25,25,25,23,22,21,38,38,38,19,19,19,64,64,64,42,42,42,73,73,73,31,31,32,53,53,53,rock
